και	c e
ενσωματωμένες	e n s o m a t o m è n e s
βλαστοκύτταρα	v l a s t o c ì t a r a
δεξιές	ð e k s i è s
σαμοθράκης	s a m o θ r à c i s
χαζοί	x a z ì
εργολάβων	e r ɣ o l à v o n
καθίκι	k a θ ì c i
πόζα	p ò z a
καρικατούρα	k a r i k a t ù r a
συντηρήσουν	s i d i r ì s u n
δικομματισμό	ð i k o m a t i z m ò
πνευμονίας	p n e v m o n ì a s
άκαμπτη	à k a b t i
πενταετή	p e d a e t ì
ηλαδη	i l a ð i
ηλιθίων	i l i θ ì o n
αστεροειδείς	a s t e r o i ð ì s
ισχυρίζεσαι	i s ç i r ì z e s e
κατοχυρωθεί	k a t o ç i r o θ ì
υποκατηγορία	i p o k a t i ɣ o r ì a
αρχαϊκή	a r x a i c ì
εξαφάνισε	e k s a f à n i s e
αυθάδεια	a f θ à ð i a
ιδρύσουν	i ð r ì s u n
μεταφορείς	m e t a f o r ì s
τέρατος	t è r a t o s
ήρωά	ì r o à
ενδεχόμενων	e n ð e x ò m e n o n
γειτονικούς	ʝ i t o n i k ù s
κοιμόμουν	c i m ò m u n
συνάδελφε	s i n à ð e l f e
βομβαρδισμού	v o m v a r ð i z m ù
λαμπάδες	l a b à ð e s
καθρέπτης	k a θ r è p t i s
τσόμσκι	t s ò m s c i
χαλαροί	x a l a r ì
απενεργοποιήσει	a p e n e r ɣ o p i ì s i
εγχειριδίων	e ɣ ç i r i ð i o n
κριός	k r ʝ ò s
γρανίτη	ɣ r a n ì t i
αλμυρό	a l m i r ò
ελευθερα	e l e f θ e r a
κτλπ	k t l p
κομάντος	k o m à d o s
κολλητούς	k o l i t ù s
διαδραστικό	ð i/j a ð r a s t i k ò
πρεσβευτές	p r e s v e f t è s
μετάνοιας	m e t à n i a s
τροποποιημένα	t r o p o p i i m è n a
χαρτοφυλάκια	x a r t o f i l à c a
φόρεσα	f ò r e s a
αναπτυγμένων	a n a p t i ɣ m è n o n
ρόδι	r ò ð i
αντωνία	a d o n ì a
ινδιάνοι	i n ð ʝ à n i
γέρακας	ʝ è r a k a s
ευρωπαϊκοί	e v r o p a i c ì
οβάλ	o v à l
θύραν	θ ì r a n
μπακάλικο	b a k à l i k o
αυτουργός	a f t u r ɣ ò s
χαρισματική	x a r i z m a t i c ì
παρήγγειλε	p a r ì ɟ i l e
επιχειρηθεί	e p i ç i r i θ ì
σιάτιστα	s ç à t i s t a
ανθρωπουσ	a n θ r o p u s
μοναδικών	m o n a ð i k ò n
πελάγους	p e l à ɣ u s
αξιόπιστων	a k s i ò p i s t o n
γενικεσ	ʝ e n i c e s
πετρος	p e t r o s
οριζόμενα	o r i z ò m e n a
ψηφίζεις	p s i f ì z i s
στρατηγικούς	s t r a t i ʝ i k ù s
όπιο	ò p i/j o
αυτοάμυνα	a f t o à m i n a
τρένων	t r è n o n
διανοούμενων	ð i/j a n o ù m e n o n
περιγράψεις	p e r i ɣ r à p s i s
εκβιασμού	e k v i/j a z m ù
καμπής	k a b ì s
κληρονόμους	k l i r o n ò m u s
χειμερινούς	ç i m e r i n ù s
εμπιστεύτηκε	e b i s t è f t i c e
μοτοσικλετών	m o t o s i k l e t ò n
άλλεν	à l e n
οργασμού	o r ɣ a z m ù
μονοπωλίου	m o n o p o l ì u
απρίλης	a p r ì l i s
ύβρις	ì v r i s
δικαιολογημένες	ð i c e o l o ʝ i m è n e s
χειρίστηκε	ç i r ì s t i c e
αντικαταστήσω	a d i k a t a s t ì s o
χτυπήματος	x t i p ì m a t o s
βούτηξε	v ù t i k s e
χνούδι	x n ù ð i
καθοριστικές	k a θ o r i s t i c è s
αυνανισμός	a v n a n i z m ò s
αμαρτίαν	a m a r t ì a n
μελαγχολικά	m e l a ɣ x o l i k à
επιπλοκή	e p i p l o c ì
ξημέρωσε	k s i m è r o s e
ένατη	è n a t i
προτασεισ	p r o t a s i s
προχωράς	p r o x o r à s
αμαζόνιο	a m a z ò ɲ o
ναζαρέτ	n a z a r è t
άκρον	à k r o n
κατηγορηματικός	k a t i ɣ o r i m a t i k ò s
οντάριο	o d à r i/j o
τέντες	t è d e s
τσιτσάνης	t s i t s à n i s
θάμνοι	θ à m n i
νομιμοποιήσει	n o m i m o p i ì s i
μηλιά	m i ʎ à
τικ	t i k
αναφερθήκαμε	a n a f e r θ ì k a m e
παραπέμπεται	p a r a p è b e t e
αρπάζουν	a r p à z u n
φευ	f e v
υπεκφυγές	i p e k f i ʝ è s
ταφόπλακα	t a f ò p l a k a
σήραγγες	s ì r a ɟ e s
παραπλήσια	p a r a p l ì s i/j a
αποκλιμάκωση	a p o k l i m à k o s i
χορηγήσεως	x o r i ʝ ì s e o s
μαγαζιών	m a ɣ a z ʝ ò n
παρουσιαστή	p a r u s i/j a s t ì
γουόλ	ɣ u ò l
τσιγγάνων	t s i g à n o n
ξανάρθει	k s a n à r θ i
αρχαιοελληνικό	a r ç e o e l i n i k ò
υπάρχη	i p à r ç i
διασχίσουν	ð i/j a s ç ì s u n
φτηνότερο	f t i n ò t e r o
ενημερωτικού	e n i m e r o t i k ù
αγωνιζόμενους	a ɣ o n i z ò m e n u s
αισχροκέρδεια	e s x r o c è r ð i a
ανώμαλο	a n ò m a l o
έλεγχε	è l e ɣ ç e
χαρούλα	x a r ù l a
τουριστικός	t u r i s t i k ò s
βούρτσισμα	v ù r t s i z m a
ανήσυχα	a n ì s i x a
αποξηραμένα	a p o k s i r a m è n a
εταιρειες	e t e r i e s
γιακά	ʝ a k à
σκατό	s k a t ò
κλίματα	k l ì m a t a
άπλυτα	à p l i t a
ακτινοβολεί	a k t i n o v o l ì
λένινγκραντ	l è n i ŋ g r a d
θεμιστοκλέους	θ e m i s t o k l è u s
χαρακτηρίστηκαν	x a r a k t i r ì s t i k a n
περιπάτους	p e r i p à t u s
προτιμήσουν	p r o t i m ì s u n
εξωγενείς	e k s o ʝ e n ì s
πρότερον	p r ò t e r o n
υιοθεσίας	i i o θ e s ì a s
κηρύττει	c i r ì t i
πιερ	p i/j e r
μισθοδοσίας	m i s θ o ð o s ì a s
ελευθέρας	e l e f θ è r a s
φυλλομετρητή	f i l o m e t r i t ì
ταξείδι	t a k s ì ð i
δώστου	ð ò s t u
παθητικός	p a θ i t i k ò s
θεσεισ	θ e s i s
ιστοί	i s t ì
προξενείου	p r o k s e n ì u
αγγλοι	a g l i
παλέψω	p a l è p s o
πληγώνουν	p l i ɣ ò n u n
ρύγχος	r ì ɣ x o s
πάρκερ	p à r c e r
σέρνονται	s è r n o d e
αβραμόπουλου	a v r a m ò p u l u
αιγόκερως	e ɣ ò c e r o s
εξάγουμε	e k s à ɣ u m e
μεσοποταμίας	m e s o p o t a m ì a s
καινούριας	c e n ù r i/j a s
αφθονούν	a f θ o n ù n
κάθετος	k à θ e t o s
πρότυπη	p r ò t i p i
πομπός	p o b ò s
τοπωνύμιο	t o p o n ì m i/j o
φυλακίσεις	f i l a c ì s i s
λαμπάκι	l a b à c i
περιοριστούμε	p e r i/j o r i s t ù m e
προκαλέσω	p r o k a l è s o
εύθραυστο	è f θ r a f s t o
υβριστικό	i v r i s t i k ò
χρονοβόρες	x r o n o v ò r e s
αναδιοργάνωσης	a n a ð i/j o r ɣ à n o s i s
στηρίξεις	s t i r ì k s i s
μαθητες	m a θ i t e s
ξερεισ	k s e r i s
τεμάχιο	t e m à ç o
μετωπική	m e t o p i c ì
παιδειασ	p e ð i a s
ούτ	ù t
παρατηρήστε	p a r a t i r ì s t e
αυθορμητισμό	a f θ o r m i t i z m ò
χαμομήλι	x a m o m ì l i
αριστοκράτες	a r i s t o k r à t e s
σταθερούς	s t a θ e r ù s
φριχτό	f r i x t ò
πρόσφυση	p r ò s f i s i
θυσιάστηκαν	θ i s ç à s t i k a n
ανίκανους	a n ì k a n u s
θερμοστάτης	θ e r m o s t à t i s
σήκωσα	s ì k o s a
χαραγμένα	x a r a ɣ m è n a
αναπτυγμένο	a n a p t i ɣ m è n o
ινδικής	i n ð i c ì s
τζόρτζεβιτς	t z ò r t z e v i t s
ασφαλειας	a s f a l i a s
συστατικού	s i s t a t i k ù
συναφθεί	s i n a f θ ì
υστεροφημία	i s t e r o f i m ì a
έτοιμους	è t i m u s
τυπωμένες	t i p o m è n e s
απόπλου	a p ò p l u
δεκατρείς	ð e k a t r ì s
χρωμοσώματα	x r o m o s ò m a t a
εκφέρω	e k f è r o
νικήθηκε	n i c ì θ i c e
ομοίωση	o m ì o s i
ρόμπιν	r ò b i n
διδαχτεί	ð i ð a x t ì
συγκεντρωτικό	s i ɟ e d r o t i k ò
ευκρίνεια	e v k r ì n i a
ασφυκτική	a s f i k t i c ì
κέλι	c è l i
δακτυλίου	ð a k t i l ì u
σπουδαιότερες	s p u ð e ò t e r e s
αρρώστου	a r ò s t u
συμφερον	s i m f e r o n
μετρητής	m e t r i t ì s
συμπεράνει	s i b e r à n i
μεγιστάνας	m e ʝ i s t à n a s
κοινη	c i n i
δούλου	ð ù l u
νοτίως	n o t ì o s
κρύπτη	k r ì p t i
αμοιβαίου	a m i v è u
δυνατοτητεσ	ð i n a t o t i t e s
απορρυπαντικό	a p o r i p a d i k ò
λολ	l o l
κυλικείο	c i l i c ì o
λατίνων	l a t ì n o n
προσδοκούν	p r o z ð o k ù n
χάρτινο	x à r t i n o
προχώρα	p r o x ò r a
πολλήν	p o l ì n
δημοσκόπησης	ð i m o s k ò p i s i s
παρουσίασα	p a r u s ì a s a
ηλεκτρομαγνητικό	i l e k t r o m a ɣ n i t i k ò
νωτιαίου	n o t i/j a ì u
αποκρύπτει	a p o k r ì p t i
ζήνα	z ì n a
λεπτο	l e p t o
ιδ	i ð
εικονικών	i k o n i k ò n
όργουελ	ò r ɣ u e l
κεφαλαιακή	c e f a l e a c ì
υπαίτιος	i p è t i/j o s
εκτέθηκαν	e k t è θ i k a n
παγάκια	p a ɣ à c a
συμπαν	s i b a n
κερδοσκοπικές	c e r ð o s k o p i c è s
λισσαβώνας	l i s a v ò n a s
αμνηστίας	a m n i s t ì a s
λυπημένο	l i p i m è n o
άτιμο	à t i m o
εννοιολογική	e n i o l o ʝ i c ì
διαβασμένος	ð i/j a v a z m è n o s
λαγκαδά	l a g a ð à
πειραματίζεται	p i r a m a t ì z e t e
αυτόνομων	a f t ò n o m o n
πλουσιότερες	p l u s ç ò t e r e s
κάπνιζε	k à p n i z e
αμπχαζία	a b x a z ì a
μισθοφόρους	m i s θ o f ò r u s
κολλάμε	k o l à m e
κορούλα	k o r ù l a
κατακλυσμός	k a t a k l i z m ò s
αξιοθέατο	a k s i o θ è a t o
άμφια	à m f i/j a
ομώνυμης	o m ò n i m i s
έγκυρος	è ɟ i r o s
πανάρχαιο	p a n à r ç e o
διακατέχονται	ð i/j a k a t è x o d e
χαμηλώνει	x a m i l ò n i
ασφαλεια	a s f a l i a
αρχιμάγειρας	a r ç i m à ʝ i r a s
αψίδα	a p s ì ð a
σφάζουν	s f à z u n
συμπάθειά	s i b à θ ç à
ρουσσώ	r u s ò
ήπιος	ì p i/j o s
χιλιοστό	ç i ʎ o s t ò
μεταβιβάσεις	m e t a v i v à s i s
μπέιζμπολ	b è i z b o l
χαίρουν	ç è r u n
νικοπολίδη	n i k o p o l ì ð i
συνεργείων	s i n e r ʝ ì o n
αρμονικές	a r m o n i c è s
μαθητείας	m a θ i t ì a s
δημοσιευμένη	ð i m o s i e v m è n i
κατευθύνετε	k a t e f θ ì n e t e
κάντυ	k à d i
εβρ	e v r
ροδόπη	r o ð ò p i
ραδιοφωνικά	r a ð i/j o f o n i k à
νοικοκύρεμα	n i k o c ì r e m a
ανακυκλώνονται	a n a c i k l ò n o d e
ναύτης	n à f t i s
συμβουλευτικές	s i m v u l e f t i c è s
άντα	à d a
αγνές	a ɣ n è s
δευτερον	ð e f t e r o n
ξυπνάνε	k s i p n à n e
αλαν	a l a n
αυστραλοί	a f s t r a l ì
ραδιοφωνικού	r a ð i/j o f o n i k ù
τέλειας	t è l i a s
ναυτιλια	n a f t i ʎ a
φίρμα	f ì r m a
βέβαιον	v è v e o n
ταιριαστό	t e r i/j a s t ò
χρεοκοπίας	x r e o k o p ì a s
θεραπεύσουν	θ e r a p è f s u n
μπισκότο	b i s k ò t o
ταλαντούχο	t a l a d ù x o
παραστούν	p a r a s t ù n
άθικτο	à θ i k t o
χειροπιαστά	ç i r o p i/j a s t à
ομορφότερα	o m o r f ò t e r a
αλλαξε	a l a k s e
διαταράξει	ð i/j a t a r à k s i
κάντο	k à d o
διηύθυνε	ð i i ì θ i n e
γρανάζι	ɣ r a n à z i
σαρκική	s a r c i c ì
ολοκληρο	o l o k l i r o
απατά	a p a t à
καινούριων	c e n ù r i/j o n
θεσμικούς	θ e z m i k ù s
τραύματος	t r à v m a t o s
λογοτέχνη	l o ɣ o t è x n i
προσφυγιά	p r o s f i ʝ à
αβασάνιστα	a v a s à n i s t a
σεπτεμβριου	s e p t e m v r i/j u
μπρός	b r ò s
αισχύλου	e s ç ì l u
σεβάστηκε	s e v à s t i c e
απορρίφθηκαν	a p o r ì f θ i k a n
ξενοδοχειακές	k s e n o ð o ç i a c è s
νικηφόρο	n i c i f ò r o
μπαλάντες	b a l à d e s
αχανή	a x a n ì
διεξαγάγει	ð i/j e k s a ɣ à ʝ i
ταραξίες	t a r a k s ì e s
ιντιάνα	i d ʝ à n a
εξαπολύει	e k s a p o l ì i
καουτσούκ	k a u t s ù k
αναζητάτε	a n a z i t à t e
ιδιαιτεροτήτων	i ð i/j a i t e r o t ì t o n
τροποποιήσεων	t r o p o p i ì s e o n
συμπαθείς	s i b a θ ì s
παρεχόμενης	p a r e x ò m e n i s
διδάκτρων	ð i ð à k t r o n
συνεργατική	s i n e r ɣ a t i c ì
λάβαρα	l à v a r a
νουάρ	n u à r
βλεπε	v l e p e
συγκρατήσουν	s i g r a t ì s u n
πιάνοντας	p ç à n o d a s
δημοφιλέστερα	ð i m o f i l è s t e r a
θιμεροσάλ	θ i m e r o s à l
πρέντις	p r è d i s
πρωτοψάλτη	p r o t o p s à l t i
μάζεψαν	m à z e p s a n
παρτενέρ	p a r t e n è r
πετρόπουλου	p e t r ò p u l u
φωκάς	f o k à s
περιηγήσεις	p e r i i ʝ ì s i s
ομιλοσ	o m i l o s
αδερφών	a ð e r f ò n
υπογράψω	i p o ɣ r à p s o
ψυχάς	p s i x à s
εκτιμάτε	e k t i m à t e
επώδυνες	e p ò ð i n e s
μπαινουν	b e n u n
μυστρά	m i s t r à
καλωσορίσω	k a l o s o r ì s o
διατύπωσαν	ð i/j a t ì p o s a n
καλυτέρευση	k a l i t è r e f s i
όουεν	ò u e n
εξαχθεί	e k s a x θ ì
παιδικός	p e ð i k ò s
σκυλάδικα	s c i l à ð i k a
χρηματοδοτηθούν	x r i m a t o ð o t i θ ù n
φωτογραφια	f o t o ɣ r a f i/j a
αφηνει	a f i n i
νάχει	n à ç i
ποσδεπ	p o z ð e p
βραβευμένη	v r a v e v m è n i
προσκυνήσουν	p r o s c i n ì s u n
πολιτισμικού	p o l i t i z m i k ù
εκπροσωπούσαν	e k p r o s o p ù s a n
φυτικής	f i t i c ì s
ευχολόγια	e f x o l ò ʝ a
πληθυσμιακά	p l i θ i s m i/j a k à
συλλογισμού	s i l o ʝ i z m ù
τυραννίας	t i r a n n ì a s
αιγύπτιος	e ʝ ì p t i/j o s
αποδειξεις	a p o ð i k s i s
φυσικο	f i s i k o
επηρεάζοντας	e p i r e à z o d a s
βουδισμός	v u ð i z m ò s
αντιπροσώπευαν	a d i p r o s ò p e v a n
δίδασκαν	ð ì ð a s k a n
κομοδίνο	k o m o ð ì n o
έμπροσθεν	è b r o s θ e n
εντυπωσιάζουν	e d i p o s ç à z u n
κερύνεια	c e r ì n i a
ωοθήκες	o o θ ì c e s
κυριακοδρόμιον	c i r i/j a k o ð r ò m i/j o n
δολοφονήσει	ð o l o f o n ì s i
φράγκων	f r à g o n
εκπονηθεί	e k p o n i θ ì
κουράζουν	k u r à z u n
αλληλεξάρτηση	a l i l e k s à r t i s i
τραστ	t r a s t
τσεκάρω	t s e k à r o
μειοψηφίες	m i o p s i f ì e s
μαρκάρισμα	m a r k à r i z m a
υγειονομικών	i ʝ i o n o m i k ò n
γονιδιακή	ɣ o n i ð i/j a c ì
ισολογισμό	i s o l o ʝ i z m ò
μεταπτυχιακού	m e t a p t i ç a k ù
αποψινή	a p o p s i n ì
βοσπόρου	v o s p ò r u
κινητρα	c i n i t r a
προλαβαίνεις	p r o l a v è n i s
ερευνήσουμε	e r e v n ì s u m e
νέλσον	n è l s o n
τρίβει	t r ì v i
επμ	e p m
αγανάκτησης	a ɣ a n à k t i s i s
κάπα	k à p a
φρονώ	f r o n ò
κούτρας	k ù t r a s
προσπέλασης	p r o s p è l a s i s
δικιάς	ð i c à s
σκούφο	s k ù f o
γλέζος	ɣ l è z o s
σπεύσει	s p è f s i
εισβολές	i s v o l è s
προτελευταία	p r o t e l e f t è a
αχανές	a x a n è s
τηλεφώνησα	t i l e f ò n i s a
πλείστοι	p l ì s t i
ξεχωρίζεις	k s e x o r ì z i s
ελληνοτουρκικά	e l i n o t u r c i k à
απαλλάχθηκε	a p a l à x θ i c e
δάσκαλός	ð à s k a l ò s
τιδήποτε	t i ð ì p o t e
αρχαιολογικός	a r ç e o l o ʝ i k ò s
πλέει	p l è i
ροΐδη	r o ì ð i
λάτσιο	l à t s i/j o
πανούκλα	p a n ù k l a
όλγας	ò l ɣ a s
μάταιες	m à t e e s
λατομεία	l a t o m ì a
έκζεμα	è k z e m a
βέλτιστων	v è l t i s t o n
στένωση	s t è n o s i
εντ	e d
ριζοσπάστες	r i z o s p à s t e s
ανταμοιβές	a d a m i v è s
αδικο	a ð i k o
πατερική	p a t e r i c ì
χακί	x a c ì
τεταμένη	t e t a m è n i
έπαινος	è p e n o s
παρκάρισμα	p a r k à r i z m a
γυριστεί	ʝ i r i s t ì
λειτουργικός	l i t u r ʝ i k ò s
υδραργύρου	i ð r a r ʝ ì r u
ανιχνευθεί	a n i x n e f θ ì
ανασταλεί	a n a s t a l ì
άλλοδήποτε	à l o ð ì p o t e
αθλημάτων	a θ l i m à t o n
μακαριότητα	m a k a r ʝ ò t i t a
συναφώς	s i n a f ò s
εκλεγμένη	e k l e ɣ m è n i
υποβαθμίσει	i p o v a θ m ì s i
δημόπουλος	ð i m ò p u l o s
γωνια	ɣ o ɲ a
εικάζεται	i k à z e t e
βαρβιτσιωτησ	v a r v i t s i/j o t i s
κάτια	k à t i/j a
λοξά	l o k s à
ξαναγράψω	k s a n a ɣ r à p s o
τυχών	t i x ò n
εξέλθει	e k s è l θ i
λοβέρδο	l o v è r ð o
φανηκε	f a n i c e
λήξεως	l ì k s e o s
αμέτρητους	a m è t r i t u s
απαθείς	a p a θ ì s
προσήλθαν	p r o s ì l θ a n
αοκ	a o k
σολωμό	s o l o m ò
περιβαλλοντικοί	p e r i v a l o d i c ì
λεπτομερές	l e p t o m e r è s
τοιούτον	t i ù t o n
τέντα	t è d a
πασχίζουν	p a s ç ì z u n
γαϊδούρια	ɣ a i ð ù r i/j a
γραφειοκρατικά	ɣ r a f i o k r a t i k à
ωκεανός	o c e a n ò s
ύπο	ì p o
απομνημονεύματά	a p o m n i m o n è v m a t à
σβηστεί	s v i s t ì
γονιμοποίησης	ɣ o n i m o p ì i s i s
διενέργειας	ð i/j e n è r ʝ i a s
διαγώνιο	ð i/j a ɣ ò ɲ o
ιδρύονται	i ð r ì o d e
ράμπο	r à b o
αϋπνίας	a i p n ì a s
νομοσ	n o m o s
ισχνή	i s x n ì
συχνότερες	s i x n ò t e r e s
γαμάει	ɣ a m à i
μύστες	m ì s t e s
λαμπράκης	l a b r à c i s
χειρωνακτική	ç i r o n a k t i c ì
παραθέσουμε	p a r a θ è s u m e
εφαρμόσω	e f a r m ò s o
ιππότη	i p ò t i
αρνητές	a r n i t è s
πλαστικής	p l a s t i c ì s
βολτα	v o l t a
ανώμαλα	a n ò m a l a
επωφελής	e p o f e l ì s
μαριάμ	m a r ʝ à m
ομόφυλα	o m ò f i l a
επιρρεπής	e p i r e p ì s
σπουδαιότερη	s p u ð e ò t e r i
ρέππα	r è p a
νιωθω	ɲ o θ o
διαπιστευτήρια	ð i/j a p i s t e f t ì r i/j a
ταίριαζαν	t è r i/j a z a n
φορτιστής	f o r t i s t ì s
νύκτας	n ì k t a s
εκτελεστής	e k t e l e s t ì s
χρωμίου	x r o m ì u
στοχασμός	s t o x a z m ò s
μπλοκάρισμα	b l o k à r i z m a
απλότητας	a p l ò t i t a s
μισαλλοδοξίας	m i s a l o ð o k s ì a s
πεποίθησης	p e p ì θ i s i s
στρέψουμε	s t r è p s u m e
εξάτμισης	e k s à t m i s i s
ιστολογίων	i s t o l o ʝ ì o n
εγείρουν	e ʝ ì r u n
ξεσπούν	k s e s p ù n
μεταγλώττιση	m e t a ɣ l ò t i s i
διδασκαλιών	ð i ð a s k a ʎ ò n
παιδιων	p e ð i/j o n
τκ	t k
τόκυο	t ò c i o
ποδοσφαιρο	p o ð o s f e r o
πειρατικό	p i r a t i k ò
σκανδαλώδη	s k a n ð a l ò ð i
χειροπιαστό	ç i r o p i/j a s t ò
δακτυλικά	ð a k t i l i k à
ωφέλιμα	o f è l i m a
ιεραρχικά	i e r a r ç i k à
σιδέρη	s i ð è r i
προλαβαίνουμε	p r o l a v è n u m e
συμβιβάζονται	s i m v i v à z o d e
μασαχουσέτης	m a s a x u s è t i s
απωθεί	a p o θ ì
αντικειμενικοί	a d i c i m e n i c ì
διασώζονται	ð i/j a s ò z o d e
άθλος	à θ l o s
καθαρούς	k a θ a r ù s
διαιρέσεις	ð i/j a i r è s i s
κρεμασμένη	k r e m a z m è n i
πληκτρολόγια	p l i k t r o l ò ʝ a
αϊκίντο	a i c ì d o
παρουσια	p a r u s i/j a
πρόσω	p r ò s o
τριανταφυλλιδησ	t r i/j a d a f i l i ð i s
υδραυλικά	i ð r a v l i k à
πρόσκρουση	p r ò s k r u s i
κτεο	k t e o
καμίας	k a m ì a s
ραδιενέργειας	r a ð i/j e n è r ʝ i a s
γιοχάνεσμπουργκ	ʝ o x à n e z b u r g
τραυματισμένος	t r a v m a t i z m è n o s
κατέθεσα	k a t è θ e s a
θανατηφόρες	θ a n a t i f ò r e s
ομότιμη	o m ò t i m i
καρζάι	k a r z à i
πρακτικού	p r a k t i k ù
ανταπεξέλθουν	a d a p e k s è l θ u n
προάγγελος	p r o à ɟ e l o s
ικανοτητα	i k a n o t i t a
αρχειοθέτηση	a r ç i o θ è t i s i
μονότονο	m o n ò t o n o
απομονωμένα	a p o m o n o m è n a
αναστηθεί	a n a s t i θ ì
αναλάβαμε	a n a l à v a m e
αγράμματοι	a ɣ r à m a t i
προκαλει	p r o k a l i
ευνοήσει	e v n o ì s i
αποδειξη	a p o ð i k s i
προκατάληψης	p r o k a t à l i p s i s
εξοντώσει	e k s o d ò s i
επακολούθησε	e p a k o l ù θ i s e
κρίσιμους	k r ì s i m u s
απεργοί	a p e r ʝ ì
ουεσίμπα	u e s ì b a
υφηλίου	i f i l ì u
φωτονίων	f o t o n ì o n
συναλλαγματικών	s i n a l a ɣ m a t i k ò n
οικειότητας	i c i ò t i t a s
δυσκολη	ð i s k o l i
σάρωσε	s à r o s e
όσιο	ò s i/j o
μεμονωμένοι	m e m o n o m è n i
αξιόπιστοι	a k s i ò p i s t i
στήριζαν	s t ì r i z a n
παραπλανήσει	p a r a p l a n ì s i
θάλαμος	θ à l a m o s
προικισμένος	p r i c i z m è n o s
επισυνάπτεται	e p i s i n à p t e t e
έλαχε	è l a ç e
αντικαταστάτη	a d i k a t a s t à t i
στεγνή	s t e ɣ n ì
καθημερινούς	k a θ i m e r i n ù s
αποκλειστούν	a p o k l i s t ù n
γενοκτονίες	ʝ e n o k t o n ì e s
διασυνοριακή	ð i/j a s i n o r i/j a c ì
συμπτωματολογία	s i b t o m a t o l o ʝ ì a
εκπροσωπώ	e k p r o s o p ò
τούμπες	t ù b e s
ύλην	ì l i n
ζώντες	z ò d e s
μοτοσυκλέτας	m o t o s i k l è t a s
ντελ	d e l
συνηθισμένους	s i n i θ i z m è n u s
καθοδική	k a θ o ð i c ì
κουράζω	k u r à z o
υποκειμενικότητας	i p o c i m e n i k ò t i t a s
τίναξε	t ì n a k s e
μοντέρνου	m o d è r n u
φετίχ	f e t ì x
υποτιμητικά	i p o t i m i t i k à
λιακόπουλος	ʎ a k ò p u l o s
εξουσιαστές	e k s u s i/j a s t è s
οργισμένη	o r ʝ i z m è n i
χρησιμοποιήσατε	x r i s i m o p i ì s a t e
απροσδιόριστη	a p r o s ð ʝ ò r i s t i
εναπόθεση	e n a p ò θ e s i
μις	m i s
πρόοδοι	p r ò o ð i
νήσοι	n ì s i
στίχου	s t ì x u
θέλαν	θ è l a n
εμπιστευτικά	e b i s t e f t i k à
αντιταχθεί	a d i t a x θ ì
συνομιλήσει	s i n o m i l ì s i
βιάζεστε	v ʝ à z e s t e
εισήγησης	i s ì ʝ i s i s
προμηθευτούν	p r o m i θ e f t ù n
έκπληκτη	è k p l i k t i
εργαστηριακών	e r ɣ a s t i r i/j a k ò n
μάλα	m à l a
σκιαγραφεί	s c a ɣ r a f ì
καταναλωτισμό	k a t a n a l o t i z m ò
ποιμένας	p i m è n a s
ενσωματώθηκαν	e n s o m a t ò θ i k a n
διασυνοριακές	ð i/j a s i n o r i/j a c è s
ευνοούσε	e v n o ù s e
επίδοξοι	e p ì ð o k s i
βασιλείων	v a s i l ì o n
πακιστανοί	p a c i s t a n ì
αντιδραση	a d i ð r a s i
συνέδεε	s i n è ð e e
τελείωναν	t e l ì o n a n
μακρό	m a k r ò
εύκολοι	è v k o l i
εκδηλωθούν	e k ð i l o θ ù n
χαλαρώσουν	x a l a r ò s u n
ψηλοί	p s i l ì
ένωσή	è n o s ì
γεμισμένος	ʝ e m i z m è n o s
λιγακι	l i ɣ a c i
χειριστών	ç i r i s t ò n
απολογισμούς	a p o l o ʝ i z m ù s
καλύπτουμε	k a l ì p t u m e
θεραπεύονται	θ e r a p è v o d e
φράκταλ	f r à k t a l
γραφομηχανή	ɣ r a f o m i x a n ì
κοιμηθείτε	c i m i θ ì t e
στοματική	s t o m a t i c ì
παράσημο	p a r à s i m o
βγώ	v ɣ ò
νήσους	n ì s u s
αθανασόπουλος	a θ a n a s ò p u l o s
τριακόσια	t r i/j a k ò s i/j a
φούντα	f ù d a
αξεπέραστο	a k s e p è r a s t o
προσεγγίζεται	p r o s e ɟ ì z e t e
μακρές	m a k r è s
βαφτίσει	v a f t ì s i
υποτροφιών	i p o t r o f ç ò n
διάρρηξη	ð ʝ à r i k s i
ενεργούσε	e n e r ɣ ù s e
αναρωτιόταν	a n a r o t ç ò t a n
πολλάς	p o l à s
αυτιών	a f t i ò n
εγκαθιστούν	e g a θ i s t ù n
πιάστηκαν	p ç à s t i k a n
θεές	θ e è s
διασ	ð i/j a s
ζωγραφίζω	z o ɣ r a f ì z o
προβλέψιμη	p r o v l è p s i m i
παπάκι	p a p à c i
δίνονταν	ð ì n o d a n
καλοσύνης	k a l o s ì n i s
άλγος	à l ɣ o s
μαρμάρου	m a r m à r u
απελευθερώνοντας	a p e l e f θ e r ò n o d a s
γκραντ	g r a d
ερμηνευτεί	e r m i n e f t ì
εγχείριση	e ɣ ç ì r i s i
συμφόρησης	s i m f ò r i s i s
τσούρμο	t s ù r m o
πέραση	p è r a s i
ισλαμικής	i z l a m i c ì s
ακουει	a k u i
πέταγε	p è t a ʝ e
αυτοψία	a f t o p s ì a
προνομιούχους	p r o n o m j ù x u s
έδειχνα	è ð i x n a
ανησυχητικές	a n i s i ç i t i c è s
πλάνων	p l à n o n
διωκτικές	ð i/j o k t i c è s
